Qualifier,1,6814,Red 1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,false,false,38,|bad defense, only defends etc. they are pretty slow ams can't do much. oh yeah the drivers are bad.|
Qualifier,2,5419,Red 1,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,false,false,false,47,|started off kind 
 of wobbly but eventually got some hatch panels.|
Qualifier,4,2643,Red 1,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,false,false,false,48,|they are slow |
Qualifier,5,253,Red 1,2,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,false,false,false,59,|They did good with resisting defense and the drivers are pretty good.|
Qualifier,6,2073,Red 1,1,0,0,0,1,0,1,2,2,0,0,4,1,1,0,0,false,false,false,52,|they drop a lot of hatch panels and is really clumsy.|
Qualifier,7,3925,Red 1,2,0,0,0,1,0,1,4,1,1,0,1,1,1,0,0,false,false,false,58,|Even with their huge design, they still got quite a bit of cargo delivered.|
Qualifier,8,7419,Red 1,1,0,0,0,1,0,1,4,1,1,0,1,1,3,0,0,false,false,false,55,|the drivers are really good and is pretty fast. |
Qualifier,9,2035,Red 1,1,0,0,0,1,0,1,4,1,1,0,2,1,1,0,0,false,false,false,37,|drivers are really bad at the robot. |
Qualifier,10,1967,Red 1,1,1,0,0,1,0,1,4,4,1,0,1,1,0,0,0,false,false,false,591,|drivers can do really good at driving. |
Qualifier,11,4698,Red 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,53,|they weren't there. |
Qualifier,12,4171,Red 1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,false,false,false,51,|the drivers didn't really know what they were doing|
Qualifier,13,253,Red 1,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,false,false,false,47,|they are quick and accurate with their shots.|
Qualifier,14,3257,Red 1,2,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,false,false,false,51,|their intake is very wobbly. can't rely on their driving either.|
Qualifier,15,6662,Red 1,2,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,false,false,false,43,|they didn't function very well meaning they didn't move much|
Qualifier,16,2085,Red 1,1,0,0,0,0,0,0,3,0,0,1,1,1,1,0,0,false,false,false,41,|slow driving, intake wasn't great|
Qualifier,17,1678,Red 1,1,0,0,0,0,0,0,1,3,1,1,3,1,3,0,0,false,false,false,66,|its citrus, they're just good, handled defense pretty well only dropped 1|
Qualifier,19,253,Red 1,2,0,0,0,1,0,0,3,3,1,1,3,1,2,0,0,false,false,false,36,|was defended, caught a cargo which was cool. they're the boba bots|
Qualifier,20,1662,Red 1,1,0,0,0,1,0,0,2,1,2,1,1,0,1,0,0,false,false,false,31,|intake doesn't match rocket height for cargo, fell off third hab|
Qualifier,21,5250,Red 1,1,0,0,0,1,0,1,2,1,2,1,1,0,1,0,0,false,false,false,39,|accidentally pushed its team mate against ship which led the team to be stuck, ramp not, defense, bad hatch intake, aggressive and will ram|
Qualifier,22,199,Red 1,1,0,0,0,1,0,1,2,1,2,1,1,1,3,0,0,false,false,true,33,|malfunctioned|
Qualifier,24,3598,Red 1,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,false,false,false,53,||
Qualifier,26,3925,Red 1,1,1,0,0,0,0,0,3,0,2,1,0,3,1,0,0,false,false,false,50,||
Qualifier,27,5940,Red 1,1,1,2,0,0,4,0,3,0,2,1,0,3,0,0,0,false,false,false,46,|stopped briefly but then worked again|
Qualifier,28,3859,Red 1,2,1,2,0,1,4,0,1,0,2,1,0,3,0,0,1,false,false,false,71,||
Qualifier,29,6662,Red 1,2,1,2,0,1,1,0,1,0,2,1,0,3,1,0,1,false,false,false,27,|played OK defense|
Qualifier,30,199,Red 1,1,1,2,0,1,1,0,1,0,2,1,0,3,3,0,1,false,false,false,52,||
Qualifier,31,6174,Red 1,2,1,2,0,1,1,0,3,0,1,1,0,3,2,0,1,false,false,false,46,|did not intake until 2 minutes into the game|
Qualifier,32,4255,Red 1,1,1,2,0,1,1,0,2,0,1,1,0,3,3,0,1,false,false,false,51,||
Qualifier,33,4698,Red 1,1,1,2,0,1,1,1,3,0,1,1,0,3,1,0,1,false,false,false,40,||
Qualifier,35,7528,Red 1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,false,false,false,59,|bad overall. not doing much. one side of drive train stopped working |
Quarters/Semifinals/Finals,36,6059,Red 1,1,0,0,1,0,0,0,5,0,1,0,0,0,1,0,0,false,false,false,45,|good cargo for ship|
Qualifier,38,701,Red 1,2,0,0,0,0,0,1,0,0,0,0,0,0,Assist,0,0,false,false,true,60,|broke during dismount from hab
smoking 
smoke smells bad
Don't pick|
Qualifier,39,5274,Red 1,2,0,0,0,0,0,1,4,0,1,0,0,0,2,0,0,false,false,true,59,|unreliable elevator
played good defence|
Qualifier,40,5940,Red 1,1,0,0,0,0,0,1,4,0,1,0,4,1,0,0,0,false,false,true,40,|elevator jammed|
Qualifier,41,5458,Red 1,2,0,0,0,0,0,1,4,2,1,1,2,1,1,0,0,false,false,true,98,|both intakes good
overall solid robot|
Qualifier,42,1671,Red 1,2,0,0,0,0,0,1,1,2,1,1,2,1,3,0,0,false,false,true,50,|picked up a ball in sandstorm
played defence well|
