Qualifier,1,114,Blue 3,1,0,0,0,0,1,0,2,2,2,1,1,0,1,0,0,false,false,false,74,|places hatches too low and drops easy|
Qualifier,2,2035,Blue 3,1,0,0,0,0,1,0,1,2,2,1,1,1,0,0,0,false,false,false,29,|either training new driver or they are just bad. hatch intake succs... literally, suction cups that look like tiny toilet plungers |
Qualifier,3,4643,Blue 3,1,0,0,0,0,1,0,1,2,2,1,1,1,0,0,0,false,false,true,32,|no show|
Qualifier,3,114,Blue 3,1,0,0,0,0,1,0,1,2,2,1,1,1,0,0,0,false,false,true,32,|no show|
Qualifier,4,6918,Blue 3,1,0,0,0,0,1,0,2,2,1,1,1,1,2,0,0,false,false,true,33,|trouble with hatch intake, did OK with cargo, kinda confused at times|
Qualifier,5,1280,Blue 3,2,0,0,0,0,1,0,2,2,1,1,1,1,1,0,0,false,false,true,26,|intake broken? played defense. not good at it. got stuck in the boba bots for a sec|
Qualifier,6,701,Blue 3,1,0,0,0,0,1,0,2,2,1,1,1,1,1,0,0,false,false,true,47,|no??? just kinda waved their intake around|
Qualifier,7,4159,Blue 3,2,0,0,0,0,1,0,2,2,1,1,1,1,0,0,0,false,false,true,50,|big dumb, prob germaphobe didn't touch any game piece or robot, saundered around akwardly . bad drivers or broken intake, didn't play defense even or offense. |
Qualifier,8,841,Blue 3,1,1,0,0,0,1,0,2,2,1,1,1,1,0,0,0,false,false,true,57,|really good dfense , fast, heavy, disrupted whole red alliance and was able to cause the red robots to block each other in the confusion |
 ,8,7667,Blue 3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,57,|really good dfense , fast, heavy, disrupted whole red alliance and was able to cause the red robots to block each other in the confusion |
Qualifier,8,114,Blue 3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,57,|really good dfense , fast, heavy, disrupted whole red alliance and was able to cause the red robots to block each other in the confusion |
Qualifier,10,1662,Blue 3,2,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,false,false,false,47,|bad placement maybe new drivers?|
Qualifier,14,5496,Blue 3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,9,|didn't move during sandstorm.
couldn't place anything
was stationary majority of game.
it fell.|
Qualifier,16,6059,Blue 3,2,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,false,false,false,43,|often dropped cargo.
bad placement.
not sure if there is hatch intake.|
Qualifier,17,701,Blue 3,1,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,false,false,false,40,|played defense the whole match.
OK at defense|
Qualifier,19,1072,Blue 3,2,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,false,false,false,56,||
Qualifier,20,4123,Blue 3,1,0,0,0,0,1,1,1,0,2,0,1,2,1,0,0,false,false,false,47,|their intake is really bad. they kept on dropping the hatch panels, and couldn't accurately place it on the rocket. |
Qualifier,21,7419,Blue 3,2,0,0,0,0,1,1,4,0,2,0,1,1,1,0,0,false,false,false,45,|tried to get to 3rd hab, but couldn't get their roller on the hab. they are pretty slow as well, could not place hatch that well. |
Qualifier,22,2073,Blue 3,1,0,0,0,0,1,1,4,6,2,0,5,1,3,0,0,false,false,false,70,|this robot is very smooth. their placement is extremely accurate. |
Qualifier,23,6059,Blue 3,1,0,0,0,0,1,1,2,6,3,0,5,1,0,0,0,false,false,false,64,|don't have accurate placement. |
Qualifier,24,1425,Blue 3,1,0,0,0,0,1,1,1,2,3,0,2,1,3,0,0,false,false,false,42,|their arm is shaky. they had to get around defense, really fast, so easy to drive around. they van also swivel around. |
Qualifier,25,5496,Blue 3,2,0,0,0,0,1,1,1,2,3,0,2,1,0,0,0,false,false,false,65,|they are trying to play defense but aren't actually going to where the red robots are. they just stayed in one corner basically the whole time.|
Qualifier,26,5419,Blue 3,2,0,0,0,0,1,1,1,2,3,0,1,1,1,0,0,false,false,false,65,|loud crackling noise when trying to used intake probably bad 
trouble receiving from human station |
Qualifier,27,5458,Blue 3,1,0,0,0,0,1,1,3,2,2,0,1,1,1,0,0,false,false,false,36,|trouble scoring cargo 
uncoordinated|
Qualifier,28,4171,Blue 3,2,0,0,0,0,1,1,3,2,2,0,0,1,0,0,0,false,false,false,34,|defence okay |
Qualifier,30,2813,Blue 3,1,0,0,0,0,1,1,3,2,2,0,0,1,1,0,0,false,false,false,49,|defense for most 
miss the beginning of match|
Qualifier,30,253,Blue 3,2,0,0,0,0,1,1,3,2,1,1,1,1,2,0,0,false,false,false,43,|can only get cargo from human station 
couldn't score cargo in rocket 
didn't have third alliance member |
Qualifier,31,6918,Blue 3,1,0,0,0,0,1,1,3,2,1,1,1,1,0,0,0,false,false,false,49,|defense bot 
uncoordinated defense
not as affective |
Qualifier,32,1072,Blue 3,2,1,0,0,0,1,1,1,2,1,1,1,1,1,0,0,false,false,false,56,|not super in control of the robot. OK at getting cargo but not that good.|
Qualifier,33,1671,Blue 3,2,1,0,0,0,1,1,2,2,1,1,1,1,3,0,0,false,false,false,63,|got defended
|
Qualifier,34,253,Blue 3,2,1,0,0,1,1,1,1,2,1,1,1,1,0,0,0,false,false,true,51,|it played a good defense but eventually broke|
Qualifier,35,1280,Blue 3,2,1,0,0,1,1,1,1,2,1,1,1,1,0,0,0,false,false,true,29,|they don't know what they were doing.|
Qualifier,36,841,Blue 3,2,1,0,0,1,1,1,3,2,1,1,1,1,1,0,0,false,false,true,32,|started off scoring points really fast and ended up being defense the rest of the time|
Qualifier,36,5250,Blue 3,1,1,0,0,1,1,1,1,2,1,1,1,1,1,0,0,false,false,true,59,|played horrible defense |
Qualifier,38,3925,Blue 3,2,1,0,0,1,1,1,2,2,2,1,1,1,1,0,0,false,false,true,65,|the driver is slow|
Qualifier,39,2813,Blue 3,1,1,0,0,1,1,0,2,2,2,1,1,2,1,0,0,false,false,true,35,|the drivers are slow and keeps dropping hatches|
Qualifier,40,6814,Blue 3,2,1,0,0,1,1,0,2,2,1,1,1,2,0,0,0,false,false,true,38,|they struggled picking up game pieces...|
Qualifier,41,7667,Blue 3,2,1,0,1,1,1,0,5,2,3,1,1,2,1,0,0,false,false,true,33,|they were defended during the match which caused them to lose more cargo but they still dropped some on their own|
Qualifier,42,5419,Blue 3,2,1,0,1,1,1,0,5,2,3,1,4,3,1,0,0,false,false,true,44,|was really uncoordinated during sandstorm... has a weird intake method... tried to get on hab three but did not make it|
